,rentals,MoM,YoY
,Manhattan,,
,All Upper East Side,,
,All,,
1995-01,,,
1995-02,,,
1995-03,,,
1995-04,,,
1995-05,,,
1995-06,,,
1995-07,,,
1995-08,,,
1995-09,,,
1995-10,,,
1995-11,,,
1995-12,,,
1996-01,,,
1996-02,,,
1996-03,,,
1996-04,,,
1996-05,,,
1996-06,,,
1996-07,,,
1996-08,,,
1996-09,,,
1996-10,,,
1996-11,,,
1996-12,,,
1997-01,,,
1997-02,,,
1997-03,,,
1997-04,,,
1997-05,,,
1997-06,,,
1997-07,,,
1997-08,,,
1997-09,,,
1997-10,,,
1997-11,,,
1997-12,,,
1998-01,,,
1998-02,,,
1998-03,,,
1998-04,,,
1998-05,,,
1998-06,,,
1998-07,,,
1998-08,,,
1998-09,,,
1998-10,,,
1998-11,,,
1998-12,,,
1999-01,,,
1999-02,,,
1999-03,,,
1999-04,,,
1999-05,,,
1999-06,,,
1999-07,,,
1999-08,,,
1999-09,,,
1999-10,,,
1999-11,,,
1999-12,,,
2000-01,,,
2000-02,,,
2000-03,,,
2000-04,,,
2000-05,,,
2000-06,,,
2000-07,,,
2000-08,,,
2000-09,,,
2000-10,,,
2000-11,,,
2000-12,,,
2001-01,,,
2001-02,,,
2001-03,,,
2001-04,,,
2001-05,,,
2001-06,,,
2001-07,,,
2001-08,,,
2001-09,,,
2001-10,,,
2001-11,,,
2001-12,,,
2002-01,,,
2002-02,,,
2002-03,,,
2002-04,,,
2002-05,,,
2002-06,,,
2002-07,,,
2002-08,,,
2002-09,,,
2002-10,,,
2002-11,,,
2002-12,,,
2003-01,,,
2003-02,,,
2003-03,,,
2003-04,,,
2003-05,,,
2003-06,,,
2003-07,,,
2003-08,,,
2003-09,,,
2003-10,,,
2003-11,,,
2003-12,,,
2004-01,,,
2004-02,,,
2004-03,,,
2004-04,,,
2004-05,,,
2004-06,,,
2004-07,,,
2004-08,,,
2004-09,,,
2004-10,,,
2004-11,,,
2004-12,,,
2005-01,,,
2005-02,,,
2005-03,,,
2005-04,,,
2005-05,,,
2005-06,,,
2005-07,,,
2005-08,,,
2005-09,,,
2005-10,,,
2005-11,,,
2005-12,,,
2006-01,,,
2006-02,,,
2006-03,,,
2006-04,,,
2006-05,,,
2006-06,,,
2006-07,,,
2006-08,,,
2006-09,,,
2006-10,,,
2006-11,,,
2006-12,,,
2007-01,2293.2147319586,,
2007-02,2324.2065103003,0.013514555749966961,
2007-03,2399.1884781416,0.03226131908201735,
2007-04,2439.7794496803,0.01691862557215229,
2007-05,2468.2818354934,0.011682361623643889,
2007-06,2421.5306418099,-0.018940784237532204,
2007-07,2477.4465738987,0.023091151986004865,
2007-08,2525.7169171254,0.019483908850045584,
2007-09,2562.2533931347,0.014465784253796521,
2007-10,2563.0707859312,0.00031901325555461213,
2007-11,2562.1139119825,-0.000373331065982363,
2007-12,2560.6965449158,-0.0005532022054410834,
2008-01,2567.6648624185,0.002721258603068488,0.11967921129893311
2008-02,2506.0033561478,-0.024014624016243546,0.07821888676493316
2008-03,2526.980696563,0.008370834924756876,0.0532647683104861
2008-04,2543.0029114249,0.006340457955888779,0.042308521681386546
2008-05,2539.3484678509,-0.0014370583523840574,0.028791943989367796
2008-06,2545.4493574134,0.0024025412973995852,0.05117371362721257
2008-07,2550.857402154,0.002124593335494751,0.02963164938801266
2008-08,2528.9261296823,-0.008597608181931449,0.0012706145075642716
2008-09,2506.7894318346,-0.008753398364578335,-0.021646555898300557
2008-10,2471.6791731944,-0.014006066163484765,-0.03565707714295385
2008-11,2442.8489180633,-0.01166423840268871,-0.04654945018698087
2008-12,2390.6408752622,-0.02137178538347373,-0.0664099266237701
2009-01,2346.5896266895,-0.018426543705720166,-0.08609972390274001
2009-02,2298.5111842204,-0.020488645275794415,-0.08279804231641352
2009-03,2280.4368142961,-0.007863511845573545,-0.09756460846821258
2009-04,2278.6040540394,-0.0008036882430637604,-0.10397111863208663
