,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
1995-01,,,,,,,,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,,,,
1997-12,,,,,,,,,,,,,,,,,,
1998-01,,,,,,,,,,,,,,,,,,
1998-02,,,,,,,,,,,,,,,,,,
1998-03,,,,,,,,,,,,,,,,,,
1998-04,,,,,,,,,,,,,,,,,,
1998-05,,,,,,,,,,,,,,,,,,
1998-06,,,,,,,,,,,,,,,,,,
1998-07,,,,,,,,,,,,,,,,,,
1998-08,,,,,,,,,,,,,,,,,,
1998-09,,,,,,,,,,,,,,,,,,
1998-10,,,,,,,,,,,,,,,,,,
1998-11,,,,,,,,,,,,,,,,,,
1998-12,,,,,,,,,,,,,,,,,,
1999-01,,,,,,,,,,,,,,,,,,
1999-02,,,,,,,,,,,,,,,,,,
1999-03,,,,,,,,,,,,,,,,,,
1999-04,,,,,,,,,,,,,,,,,,
1999-05,,,,,,,,,,,,,,,,,,
1999-06,,,,,,,,,,,,,,,,,,
1999-07,,,,,,,,,,,,,,,,,,
1999-08,,,,,,,,,,,,,,,,,,
1999-09,,,,,,,,,,,,,,,,,,
1999-10,,,,,,,,,,,,,,,,,,
1999-11,,,,,,,,,,,,,,,,,,
1999-12,,,,,,,,,,,,,,,,,,
2000-01,,,,,,,,,,,,,,,,,,
2000-02,,,,,,,,,,,,,,,,,,
2000-03,,,,,,,,,,,,,,,,,,
2000-04,,,,,,,,,,,,,,,,,,
2000-05,,,,,,,,,,,,,,,,,,
2000-06,,,,,,,,,,,,,,,,,,
2000-07,,,,,,,,,,,,,,,,,,
2000-08,,,,,,,,,,,,,,,,,,
2000-09,,,,,,,,,,,,,,,,,,
2000-10,,,,,,,,,,,,,,,,,,
2000-11,,,,,,,,,,,,,,,,,,
2000-12,,,,,,,,,,,,,,,,,,
2001-01,,,,,,,,,,,,,,,,,,
2001-02,,,,,,,,,,,,,,,,,,
2001-03,,,,,,,,,,,,,,,,,,
2001-04,,,,,,,,,,,,,,,,,,
2001-05,,,,,,,,,,,,,,,,,,
2001-06,,,,,,,,,,,,,,,,,,
2001-07,,,,,,,,,,,,,,,,,,
2001-08,,,,,,,,,,,,,,,,,,
2001-09,,,,,,,,,,,,,,,,,,
2001-10,,,,,,,,,,,,,,,,,,
2001-11,,,,,,,,,,,,,,,,,,
2001-12,,,,,,,,,,,,,,,,,,
2002-01,,,,,,,,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,,,,
2003-04,,,,,,,,,,,,,,,,,,
2003-05,,,,,,,,,,,,,,,,,,
2003-06,,,,,,,,,,,,,,,,,,
2003-07,,,,,,,,,,,,,,,,,,
2003-08,,,,,,,,,,,,,,,,,,
2003-09,,,,,,,,,,,,,,,,,,
2003-10,,,,,,,,,,,,,,,,,,
2003-11,,,,,,,,,,,,,,,,,,
2003-12,,,,,,,,,,,,,,,,,,
2004-01,,,,,,,,,,,,,,,,,,
2004-02,,,,,,,,,,,,,,,,,,
2004-03,,,,,,,,,,,,,,,,,,
2004-04,,,,,,,,,,,,,,,,,,
2004-05,,,,,,,,,,,,,,,,,,
2004-06,,,,,,,,,,,,,,,,,,
2004-07,,,,,,,,,,,,,,,,,,
2004-08,,,,,,,,,,,,,,,,,,
2004-09,,,,,,,,,,,,,,,,,,
2004-10,,,,,,,,,,,,,,,,,,
2004-11,,,,,,,,,,,,,,,,,,
2004-12,,,,,,,,,,,,,,,,,,
2005-01,,,,,,,,,,,,,,,,,,
2005-02,,,,,,,,,,,,,,,,,,
2005-03,,,,,,,,,,,,,,,,,,
2005-04,,,,,,,,,,,,,,,,,,
2005-05,,,,,,,,,,,,,,,,,,
2005-06,,,,,,,,,,,,,,,,,,
2005-07,,,,,,,,,,,,,,,,,,
2005-08,,,,,,,,,,,,,,,,,,
2005-09,,,,,,,,,,,,,,,,,,
