Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Brooklyn,Brooklyn,submarket,1350.0,1395.0,1400.0,1350.0,1350.0,1350.0,1250.0,1250.0,1000.0,1050.0,1050.0,1000.0,1000.0,1050.0,1050.0,1050.0,1050.0,1225.0,1262.5,1100.0,1100.0,1095.0,1050.0,1475.0,1350.0,1200.0,1100.0,1200.0,1200.0,1200.0,1200.0,1250.0,1275.0,1112.5,1100.0,1112.5,1200.0,1300.0,1150.0,1192.5,1197.5,1200.0,1200.0,1200.0,1275.0,1300.0,1275.0,1200.0,1250.0,1250.0,1250.0,1290.0,1400.0,1395.0,1400.0,1397.5,1350.0,1300.0,1337.5,1275.0,1300.0,1295.0,1297.5,1299.0,1350.0,1325.0,1300.0,1300.0,1300.0,1350.0,1350.0,1300.0,1300.0,1362.5,1350.0,1400.0,1395.0,1412.5,1400.0,1425.0,1425.0,1425.0,1449.5,1450.0,1425.0,1450.0,1450.0,1450.0,1475.0,1495.0,1475.0,1595.0,1537.0,1500.0,1450.0,1472.5,1500.0,1500.0,1500.0,1500.0,1500.0,1554.0
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.0,,,,,,,,1250.0,,,1395.0,1300.0,1300.0,,,,1299.5,1349.5,,1500.0,,,1400.0,1362.5,1200.0,1237.5,1350.0,1297.5,1395.0,1372.5,,,1385.0,1400.0,1400.0,1400.0,1395.0,1387.0,1400.0,1397.0,1375.0,1450.0,1400.0,1450.0,1400.0,1475.0,1600.0,1828.0,1828.0,1569.0,1412.5,1375.0,1534.5,1450.0,1475.0
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,1175.0,,,,1775.0,1527.5,1520.0,1350.0,1445.0,1520.0,1585.0,1300.0,1400.0,1625.0,,,,,,1727.0,1671.0,1595.0,1663.0,1607.5,1607.5,1605.0,1711.0
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,1437.5,1450.0,,1500.0,1450.0,1450.0,1497.5,1450.0,1450.0,1400.0,1497.5,1572.5,1675.0,1675.0,1625.0,1550.0,1550.0,1550.0,1572.5,1550.0,1525.0,1550.0,1599.0,1550.0,1625.0,1625.0,1599.0,1599.5,1600.0,1600.0,1575.0,1585.0,1575.0,1587.5,1550.0,1550.0,1595.0,1595.0,1599.0,1597.0,1575.0,1600.0,1600.0,1525.0,1500.0,1595.0,1650.0,1575.0,1512.5,1585.0,1650.0
Sunset Park,Brooklyn,neighborhood,1500.0,1500.0,1450.0,1450.0,1450.0,1425.0,1400.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,2599.5,1900.0,1950.0,1825.0,,,2200.0,,,,2024.5,1999.0,2050.0,2050.0,2200.0,2500.0
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribeca,Manhattan,neighborhood,4197.5,3997.5,3195.0,3295.0,2950.0,3100.0,3322.5,3295.0,3245.0,2950.0,2897.5,2997.5,3195.0,3350.0,2995.0,2995.0,3295.0,2995.0,3122.5,3100.0,3195.0,3197.5,3072.5,2850.0,3295.0,3495.0,3162.5,3210.0,3725.0,3522.5,3172.5,3272.5,2762.5,3395.0,3672.5,3895.0,4200.0,3485.0,2995.0,3245.0,2995.0,3000.0,3000.0,3147.5,3295.0,3495.0,3450.0,3295.0,3295.0,3537.5,3495.0,3295.0,3272.5,3295.0,3495.0,3350.0,3295.0,3345.0,3095.0,3300.0,3295.0,3630.0,3545.0,3812.5,3997.5,3750.0,3795.0,4050.0,3722.5,3500.0,3500.0,3497.5,3540.0,3612.5,3500.0,3583.5,3695.0,3595.0,3695.0,3725.0,3695.0,3992.5,4045.0,3697.5,3597.5,3395.0,3482.5,3187.5,3280.0,3535.0,3602.5,3495.0,3800.0,3570.0,3445.0,3445.0,3547.5,3447.5,3497.5,3642.5,3720.0,3982.5
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.0,1111.0,1039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper East Side,Manhattan,neighborhood,1750.0,1750.0,1750.0,1775.0,1800.0,1750.0,1750.0,1700.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1679.5,1695.0,1700.0,1825.0,1850.0,1850.0,1900.0,1900.0,1850.0,1925.0,1875.0,1875.0,1850.0,1850.0,1870.0,1850.0,1850.0,1895.0,1897.5,1895.0,1865.0,1900.0,1895.0,1950.0,1925.0,1875.0,1897.5,1950.0,1900.0,1900.0,1895.0,1900.0,1935.0,1900.0,1875.0,1900.0,1929.0,1929.0,1900.0,1900.0,1900.0,1925.0,1900.0,1950.0,1900.0,1900.0,1900.0,1900.0,1950.0,2000.0,2075.0,2050.0,2050.0,2100.0,2125.0,2150.0,2100.0,2100.0,2095.0,2100.0,2125.0,2100.0,2112.5,2150.0,2150.0,2125.0,2145.0,2099.5,2100.0,2100.0,2097.0,2050.0,2100.0,2099.0,2100.0,2100.0,2100.0,2100.0,2095.0,2085.0,2025.0,2075.0,2057.5,2075.0,2095.0,2100.0,2095.0,2077.5
Upper West Side,Manhattan,neighborhood,1800.0,1800.0,1795.0,1800.0,1895.0,1900.0,1800.0,1895.0,1995.0,2000.0,2000.0,1895.0,1900.0,1950.0,1917.5,1975.0,1975.0,2000.0,2000.0,2150.0,2150.0,2095.0,2050.0,2050.0,2000.0,2042.5,2000.0,2095.0,2062.5,2012.5,2150.0,2170.5,2150.0,2100.0,2156.0,2150.0,2100.0,2150.0,2150.0,2150.0,2130.0,2100.0,2100.0,2150.0,2200.0,2200.0,2150.0,2150.0,2150.0,2180.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2200.0,2200.0,2200.0,2195.0,2200.0,2250.0,2300.0,2350.0,2335.0,2300.0,2300.0,2300.0,2300.0,2271.0,2300.0,2295.0,2300.0,2300.0,2300.0,2350.0,2395.0,2350.0,2349.5,2342.0,2350.0,2300.0,2300.0,2250.0,2279.0,2295.0,2250.0,2300.0,2300.0,2295.0,2300.0,2300.0,2275.0,2300.0,2300.0,2285.0,2300.0,2295.0,2300.0,2312.5,2300.0
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Heights,Manhattan,neighborhood,,1100.0,1150.0,1115.0,1100.0,1200.0,1182.5,,,,1100.0,,,,,,1260.0,1260.0,1230.0,1328.0,,,,,1087.5,1195.0,1195.0,1224.5,1250.0,1272.5,1250.0,1350.0,1350.0,1400.0,1400.0,1375.0,1399.0,1362.5,1300.0,1295.0,1337.5,1350.0,1375.0,1399.0,1399.0,1350.0,1350.0,1350.0,1395.0,1395.0,1350.0,1350.0,1362.5,1350.0,1350.0,1395.0,1350.0,1350.0,1371.0,1371.0,1400.0,1415.0,1400.0,1400.0,1450.0,1450.0,1450.0,1472.5,1495.0,1499.0,1500.0,1450.0,1495.0,1475.0,1500.0,1530.0,1495.0,1500.0,1500.0,1500.0,1550.0,1550.0,1600.0,1650.0,1650.0,1550.0,1550.0,1550.0,1595.0,1585.0,1595.0,1635.0,1625.0,1695.0,1614.5,1645.0,1595.0,1600.0,1595.0,1650.0,1662.5,1650.0
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Village,Manhattan,neighborhood,2400.0,2400.0,2375.0,2225.0,2200.0,2200.0,2200.0,2250.0,2400.0,2575.0,2700.0,2572.5,2600.0,2600.0,2400.0,2497.5,2550.0,2495.0,2500.0,2500.0,2500.0,2400.0,2500.0,2472.5,2400.0,2550.0,2400.0,2497.5,2525.0,2472.5,2600.0,2550.0,2550.0,2500.0,2500.0,2550.0,2650.0,2700.0,2700.0,2600.0,2600.0,2500.0,2500.0,2572.5,2600.0,2595.0,2625.0,2695.0,2700.0,2650.0,2725.0,2725.0,2700.0,2712.5,2650.0,2700.0,2895.0,2800.0,2650.0,2850.0,2725.0,2800.0,2997.0,2737.5,2800.0,2699.0,2700.0,2800.0,2775.0,2850.0,2860.0,2725.0,2825.0,2850.0,2850.0,2900.0,2850.0,2795.0,2762.5,2900.0,2950.0,2800.0,2700.0,2750.0,2995.0,2900.0,2800.0,2750.0,2750.0,2795.0,2800.0,2895.0,2825.0,2872.5,2800.0,2800.0,2825.0,2850.0,3000.0,2995.0,2950.0,2800.0
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,1912.5,1900.0,2095.0,2100.0,2080.0,2000.0,2020.0,2325.0,2700.0,2675.0,2575.0,2850.0,2400.0,2100.0,2250.0,2250.0,2206.0,2230.5,2200.0,2595.0,2403.0,2500.0,2500.0,2225.0,2600.0,2950.0,2861.0,2850.0,2575.0,2550.0,2724.5,2500.0,2500.0,2400.0,2500.0,2600.0,2600.0,2583.0,2600.0,2500.0,2500.0,2575.0,2533.0,2549.5,2562.5,2600.0,2600.0,2375.0,2442.5,2450.0,2550.0,2615.0,2635.0,2600.0,2665.0,2677.0,2602.5,2631.0,2590.0,2574.0,2550.0,2610.0,2650.0,2699.0,2697.0,2700.0,2702.5,2692.5,2702.5,2750.0,2697.5,2697.5,2655.0,2650.0,2640.0,2602.5,2680.0,2682.0,2690.0,2690.0,2666.0,2650.0,2558.5,2550.0,2590.0,2625.0,2630.0,2650.0,2607.5,2625.0,2662.5,2695.0,2695.0,2650.0,2515.0,2463.5,2400.0,2490.0,2458.5,2529.0,2529.0,2500.0
Windsor Terrace,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.5,,,,,,,,,,1824.0,,1675.0,1687.5,,,,,,1662.5,,,,,,,,,,,1871.0,1850.0,2000.0,1814.5,,,,,,,,,,1825.0,1937.0,2010.0
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.0,,1350.0,1375.0,1375.0,1450.0,1450.0,1450.0,,1508.0,1487.5,1465.0,1425.0,,1350.0,1492.5,1450.0,1470.0,,1500.0,1490.0,1520.0
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
