Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Prospect Heights,Brooklyn,neighborhood,1650.0,1625.0,1650.0,1875.0,1975.0,2000.0,1900.0,1800.0,1800.0,1975.0,2000.0,1550.0,1800.0,,,2075.0,2100.0,2100.0,2100.0,,2500.0,2150.0,,2212.5,1900.0,1795.0,1795.0,2150.0,2250.0,2250.0,2100.0,2155.0,,1950.0,1987.5,2100.0,2000.0,2200.0,2150.0,2125.0,2150.0,2150.0,2225.0,2300.0,2300.0,2250.0,2275.0,2225.0,2250.0,2272.5,2200.0,2272.5,2395.0,2300.0,2275.0,2300.0,2272.5,2300.0,2300.0,2297.5,2300.0,2400.0,2350.0,2475.0,2425.0,2500.0,2375.0,2350.0,2450.0,2450.0,2450.0,2400.0,2350.0,2450.0,2537.5,2525.0,2450.0,2550.0,2400.0,2400.0,2495.0,2462.5,2400.0,2400.0,2400.0,2400.0,2467.5,2600.0,2670.0,2725.0,2800.0,2700.0,2725.0,2700.0,2680.0,2680.0,2599.0,2680.0,2640.0,2487.0,2680.0,2677.5
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,1285.0,1325.0,1350.0,1350.0,,,1400.0,,,,,,,1575.0,1625.0,1550.0,,1400.0,1500.0,1425.0,1450.0,1569.0,1500.0,1550.0,1550.0,1500.0,1500.0,1575.0,1597.5,1500.0,1525.0,1500.0,1550.0,1590.0,1600.0,1600.0,1597.5,1600.0,1600.0,1600.0,1625.0,1600.0,1650.0,1733.0,1682.5,1675.0,1699.0,1750.0,1900.0,1900.0,1900.0,1892.0,1850.0,1842.5,1800.0,1800.0,1800.0,1750.0,1750.0,1795.0,1795.0,1800.0,1797.5,1824.0,1795.0,1850.0,1835.0,1875.0,1800.0,1840.0,1950.0,1950.0
Prospect Park,Brooklyn,submarket,1800.0,1800.0,1750.0,1800.0,1900.0,1900.0,1900.0,1850.0,2000.0,2100.0,1850.0,1799.5,1850.0,2050.0,2000.0,2000.0,2100.0,2100.0,2100.0,2100.0,2300.0,2300.0,2300.0,2300.0,2300.0,2250.0,2300.0,2300.0,2200.0,2200.0,2050.0,2050.0,2100.0,2100.0,2000.0,2200.0,2100.0,2175.0,2150.0,2150.0,2200.0,2250.0,2300.0,2300.0,2300.0,2300.0,2300.0,2250.0,2250.0,2229.0,2200.0,2262.5,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2250.0,2250.0,2350.0,2300.0,2350.0,2400.0,2300.0,2275.0,2250.0,2300.0,2362.5,2397.5,2395.0,2395.0,2400.0,2400.0,2400.0,2450.0,2400.0,2400.0,2350.0,2300.0,2300.0,2300.0,2300.0,2312.5,2300.0,2350.0,2300.0,2395.0,2400.0,2400.0,2350.0,2400.0,2400.0,2300.0,2237.0,2237.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.5,,,,,,,,,1262.5,,,1425.0,1325.0,1350.0,1450.0,1550.0,1550.0,,2300.0,2087.5,1900.0,1950.0,2273.0,2100.0,2186.0,1900.0,2025.0,1572.5,1597.5,1595.0,1650.0,1772.5,1750.0,1650.0,1650.0,1650.0,1650.0,1700.0,1925.0,1700.0,1850.0,1900.0,1800.0,1950.0,1850.0,1910.0,1837.5,1795.0,1795.0,1875.0,1825.0,1750.0,1724.5,1650.0,1687.5,1775.0,1958.5,1775.0,1750.0,1750.0,1780.0,1772.5,1795.0,1795.0,1795.0,1812.5,1750.0,1850.0,2022.5,1875.0
Queens,Queens,borough,1419.0,1450.0,1500.0,1485.0,1389.5,1400.0,1400.0,1425.0,1450.0,1400.0,1400.0,1375.0,1350.0,1350.0,1500.0,1575.0,1650.0,1650.0,1550.0,1650.0,1662.5,1550.0,1595.0,1597.5,1600.0,2550.0,2595.0,2300.0,2600.0,2595.0,2500.0,2450.0,2100.0,1950.0,1837.5,1875.0,1675.0,1750.0,1650.0,1700.0,1795.0,1850.0,1950.0,1977.5,2100.0,2000.0,1870.0,1800.0,1775.0,1775.0,1800.0,1800.0,1750.0,1850.0,1800.0,1850.0,1835.0,1850.0,1800.0,1795.0,1800.0,1800.0,1800.0,1800.0,1850.0,1875.0,1875.0,1950.0,1880.0,1850.0,1850.0,1875.0,1875.0,1900.0,1900.0,1975.0,2000.0,1999.5,1950.0,2000.0,1999.0,1950.0,1950.0,1950.0,1900.0,1895.0,1900.0,1895.0,1875.0,1875.0,1875.0,1950.0,1900.0,1900.0,1900.0,1875.0,1875.0,1886.5,1900.0,1900.0,1900.0,1900.0
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensboro Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hook,Brooklyn,neighborhood,,,,,,,,,,1450.0,1487.5,,1650.0,,,,,,,,,,,,,,2000.0,,1950.0,2000.0,,,,,,,2000.0,,,,,,,,,,,,,2050.0,2200.0,2400.0,2400.0,,2300.0,2200.0,2000.0,1872.5,1900.0,2050.0,,1775.0,1800.0,1800.0,2300.0,2000.0,1900.0,2199.5,1800.0,2399.5,2500.0,2424.5,2287.5,2200.0,,,2147.5,2200.0,,,,,,2187.5,2300.0,,,,2500.0,2495.0,2500.0,,2175.0,,,,,1800.0,,2025.0,2050.0,1950.0
Rego Park,Queens,neighborhood,1362.5,1387.5,,1300.0,1350.0,,,,1350.0,1350.0,1350.0,1350.0,1350.0,1400.0,1400.0,,1350.0,1400.0,1400.0,1400.0,1425.0,1400.0,,1500.0,1512.5,1550.0,,,,,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1550.0,1550.0,1525.0,1400.0,1400.0,1425.0,1600.0,1650.0,1650.0,1700.0,1600.0,1638.5,1620.0,1613.0,1575.0,1685.0,1725.0,1725.0,1750.0,1800.0,1837.5,1850.0,1850.0,1800.0,1900.0,1885.0,1887.5,1900.0,1899.0,1850.0,1850.0,1850.0,1797.5,1750.0,1800.0,1800.0,1950.0,1950.0,1950.0,2000.0,2000.0,1900.0,1962.5,2087.5,2000.0,1950.0,2087.5,2225.0,2050.0,1950.0,1865.0,1865.0,1850.0,1850.0,1850.0,2000.0,1925.0,1925.0,1854.0,1800.0,1797.5,1845.0,1875.0,1833.0,1795.0,1850.0
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1475.0,1600.0,1600.0,,1597.5,1525.0,,,1575.0,,1625.0,1600.0,1800.0,1900.0,1850.0,2000.0,1900.0,1825.0,1787.5,1800.0,1700.0,1695.0,1750.0,1800.0,1750.0,1795.0,1799.0,1800.0,1850.0,1850.0,1850.0,1800.0,1800.0,1775.0,1750.0,1799.5,1800.0,1750.0,1850.0,1925.0,2000.0,1942.5,1900.0,1900.0,1850.0,1906.5,1899.0,1800.0,1800.0,1900.0
Riverdale,Bronx,neighborhood,1575.0,1500.0,1500.0,1450.0,1475.0,1500.0,1475.0,,,1500.0,1500.0,1500.0,1475.0,1450.0,1550.0,1550.0,1550.0,1475.0,1525.0,1450.0,1462.5,1475.0,1500.0,1450.0,1450.0,1500.0,1550.0,1572.5,1500.0,1500.0,1550.0,1550.0,1500.0,1500.0,1500.0,1525.0,1550.0,1600.0,1625.0,1600.0,1600.0,1600.0,1597.5,1595.0,1650.0,1650.0,1600.0,1650.0,1600.0,1595.0,1625.0,1695.0,1672.5,1700.0,1750.0,1662.5,1713.0,1675.0,1675.0,1738.0,1750.0,1760.5,1850.0,1713.0,1700.0,1825.0,1700.0,1795.0,1750.0,1800.0,1850.0,1800.0,1800.0,1750.0,1785.0,1800.0,1800.0,1800.0,1800.0,1762.5,1750.0,1750.0,1850.0,1850.0,1829.0,1800.0,1797.5,1812.5,1800.0,1800.0,1800.0,1800.0,1750.0,1725.0,1750.0,1875.0,1800.0,1800.0,1875.0,1875.0,1825.0,1895.0
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1287.0,1292.0,1287.0,,,,1350.0,1300.0,,,1350.0,1425.0,1347.5,1322.5,1350.0,1350.0,1399.5,1350.0,1374.5,,,,1425.0,1450.0,,1550.0,1595.0,1550.0,1675.0,1700.0,1655.0,1602.5,1590.0,1655.0,,,,1699.0,1699.0,,1672.0,1647.0,1499.0,1475.0,,1475.0,,,1600.0,1599.0
Roosevelt Island,Manhattan,neighborhood,,2184.5,2161.5,2300.0,2169.0,2169.0,2169.0,2300.0,2308.0,2325.0,2300.0,2300.0,2300.0,2238.0,2275.0,2401.0,2500.0,2475.0,2475.0,,2572.5,2595.0,2700.0,2700.0,,,,,2960.0,2872.5,2900.0,2950.0,2812.5,2775.0,2525.0,2612.5,2700.0,,2900.0,3000.0,2700.0,2700.0,2795.0,3072.5,2795.0,2795.0,2695.0,3197.5,3195.0,3095.0,2972.5,2695.0,3195.0,3095.0,2995.0,2995.0,2925.0,2600.0,2695.0,2875.0,2800.0,2800.0,2800.0,2995.0,2918.0,2995.0,3237.5,3250.0,2662.5,2579.0,2795.0,3050.0,3150.0,3130.0,3100.0,2950.0,3271.0,3271.0,3100.0,3100.0,3097.5,2850.0,2668.0,2738.0,2775.0,3043.0,2725.0,2900.0,3000.0,3295.0,3300.0,3285.0,2850.0,2900.0,2825.0,2550.0,2825.0,2714.0,2950.0,2955.0,3150.0,3078.0
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,1175.0,,,,,,,,,,,1248.0,1250.0,1275.0,1300.0,1250.0,1250.0,1350.0,1262.5,1400.0,1225.0,1350.0,1400.0,1450.0,1400.0,1325.0,1337.5,1400.0,1300.0,1437.5,,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1425.0,1475.0,1400.0,1400.0,1395.0,1400.0,1375.0,1400.0,1472.5,1387.5,1350.0,1362.5,1400.0,1475.0,1500.0,1450.0,1412.5,1400.0,1400.0,1500.0,1490.0,1490.0,1450.0,1400.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1525.0,1500.0,1600.0,1597.0,1575.0,1550.0,1562.5,1550.0,1592.5,1625.0,1600.0,1600.0,1595.0,1600.0,1625.0,1650.0,1600.0,1602.0,1675.0,1697.5,1650.0,1695.0,1675.0,1695.0,1697.0,1695.0,1650.0,1645.0,1675.0,1699.0,1650.0
Soho,Manhattan,neighborhood,3000.0,3000.0,3000.0,3050.0,2900.0,3095.0,3200.0,2975.0,3425.0,3000.0,3000.0,3651.0,3000.0,3000.0,2845.0,3195.0,3200.0,3800.0,4000.0,3800.0,3800.0,3500.0,3700.0,3800.0,3800.0,3850.0,3950.0,4250.0,3925.0,3645.0,3447.5,3195.0,4000.0,3525.0,3299.0,3750.0,3750.0,3300.0,3375.0,3700.0,3297.5,3300.0,2997.5,3311.0,3750.0,3450.0,3450.0,3150.0,3200.0,3500.0,3100.0,3347.5,3400.0,3500.0,3495.0,3050.0,3295.0,3600.0,3550.0,3250.0,3450.0,3350.0,3675.0,3495.0,3850.0,3850.0,3597.5,3300.0,3597.5,3475.0,3400.0,3397.5,3350.0,3295.0,3650.0,3700.0,3550.0,3325.0,3250.0,3172.5,3500.0,3500.0,3400.0,3372.5,3350.0,3200.0,3400.0,3600.0,3537.5,3400.0,3395.0,3108.5,3117.0,3200.0,3472.5,3600.0,3457.5,3625.0,3600.0,3597.5,3250.0,3200.0
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.5,1262.5,1300.0,1362.5,1287.5,1275.0,1275.0,1275.0,1250.0,1275.0,1350.0,,,,,,,,,,,,1425.0,1450.0,,,,1412.5,1400.0,,,,,,,,,,,1500.0,,,
South Brooklyn,Brooklyn,submarket,1350.0,1300.0,1300.0,1300.0,1300.0,1312.5,1300.0,1250.0,1200.0,1295.0,1300.0,1250.0,1250.0,1275.0,1275.0,1300.0,1275.0,1300.0,1275.0,1250.0,1300.0,1325.0,1300.0,1300.0,1350.0,1345.0,1300.0,1347.5,1375.0,1375.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1385.0,1375.0,1425.0,1450.0,1400.0,1400.0,1400.0,1400.0,1470.0,1500.0,1497.5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1475.0,1475.0,1492.5,1500.0,1495.0,1475.0,1475.0,1500.0,1525.0,1525.0,1500.0,1550.0,1550.0,1595.0,1600.0,1595.0,1600.0,1595.0,1600.0,1600.0,1600.0,1600.0,1610.0,1650.0,1650.0,1650.0,1675.0,1655.5,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1675.0,1695.0,1675.0,1675.0,1690.0,1675.0,1665.0,1695.0,1695.0,1675.0,1699.0,1700.0,1700.0
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.5,1399.5,1349.5,,1450.0,,,,,,,,,,1595.0,1372.5,1395.0,1475.0,1475.0,1462.5,1425.0,1352.5,1387.5,1390.0,1450.0,1400.0,1400.0,1400.0,1400.0,1498.0,1525.0,1575.0,1575.0,1445.0,1422.5,1697.5,1695.0,1625.0,1675.0,1599.0,1550.0,1599.0,1500.0,1400.0,1450.0,1500.0,1495.0,1500.0,1500.0,1525.0,1562.5,1537.5,1600.0,1650.0,1650.0,1675.0,1650.0,1599.0,1595.0,1550.0,1650.0,1810.0,1700.0,1650.0,1600.0,1600.0,1695.0,1500.0,1725.0,1798.0,1600.0,1600.0,1700.0,1650.0,1650.0,1750.0
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1350.0,1350.0,,,,,,,,,1137.5,,,,1175.0,1150.0,1150.0,1150.0,1160.0,,,1250.0,1150.0,1175.0,,1200.0,1200.0,1200.0,,1200.0,1200.0,1250.0,1250.0,1250.0,1370.0,1500.0,1734.5,1684.5,1395.0,1405.0,1395.0,,1500.0,1695.0,2140.0,2300.0,2140.0,2140.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,1500.0,1500.0,1500.0,1500.0,1500.0,1745.0,1395.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1500.0,1500.0,1647.5
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,3324.0,3377.5,3377.5,3350.0,3419.5,3433.0,,3429.5,3390.0,3350.0,3350.0,3235.0,3200.0,3250.0,3250.0,3200.0,2965.0,2965.0,2965.0,,,,3408.5,3408.5,3249.0,3249.0,3305.5,3323.0,3411.0,3467.0,3377.0,3149.5,3331.5,3325.0,3187.0,3068.0,3299.0,3299.0,3572.0,3572.0,3290.0,3216.0,3335.5,3411.0,3462.0,3479.0,3300.0,3252.0,3225.0,3191.0,3397.0,3685.0,3618.0,3547.5,3530.0,3540.0,3584.0,3570.0,3558.5,3611.0,3495.0,3645.0,3604.0,3611.5,3572.5,3630.5,3406.0,3525.0,3440.0,3625.0,3690.0,3541.0,3222.5,3535.5,3623.0,3576.0,3657.0,3610.0,
Sunnyside,Queens,neighborhood,1350.0,1350.0,1350.0,1399.0,1400.0,1375.0,1400.0,1400.0,1460.0,1412.5,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1445.0,1450.0,1450.0,1550.0,1550.0,1495.0,1547.5,1547.5,1600.0,1595.0,1650.0,1550.0,1650.0,1650.0,1500.0,1425.0,1462.5,1500.0,1500.0,1500.0,1500.0,1495.0,1500.0,1550.0,1637.5,1687.5,1650.0,1650.0,1712.5,1650.0,1675.0,1675.0,1675.0,1750.0,1800.0,1750.0,1700.0,1800.0,1800.0,1760.0,1750.0,1750.0,1750.0,1785.0,1800.0,1800.0,1750.0,1875.0,1900.0,1875.0,1900.0,1900.0,1937.5,1950.0,1850.0,1895.0,1950.0,1900.0,1900.0,1895.0,1879.0,1900.0,1937.5,1900.0,1945.0,1950.0,1897.5,1925.0,1875.0,1817.5,1850.0,1850.0,1885.0,1885.0,1885.0,1895.0,1850.0,1850.0,1850.0,1900.0,1877.5,1900.0,1900.0,1945.0,1900.0,1850.0
Sunset Park,Brooklyn,neighborhood,1200.0,1200.0,1175.0,1187.5,1200.0,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,1300.0,,,1350.0,1450.0,1487.5,1547.5,1500.0,1500.0,1575.0,1500.0,,1450.0,1400.0,1400.0,1400.0,1400.0,1500.0,1600.0,1750.0,1725.0,1750.0,1604.0,1600.0,1525.0,1500.0,1500.0,1575.0,1500.0,1550.0,1550.0,1600.0,1600.0,1525.0,1550.0,1700.0,1650.0,1600.0,1650.0,1750.0,1600.0,1700.0,1700.0,1700.0,1627.5,1700.0,1750.0,1750.0,1750.0,1672.5,1700.0,1700.0,1700.0,1700.0,1700.0,1650.0,1700.0,1650.0,1775.0,1700.0,1719.0,1750.0,1709.5,1650.0,1750.0,1750.0,1750.0,1795.0
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1287.0,1292.0,1287.0,,,,1350.0,1300.0,,,1350.0,1425.0,1347.5,1322.5,1350.0,1350.0,1399.5,1350.0,1374.5,,,,1425.0,1450.0,,1550.0,1595.0,1550.0,1675.0,1700.0,1655.0,1602.5,1590.0,1655.0,,,,1699.0,1699.0,,1672.0,1647.0,1499.0,1475.0,,1475.0,,,1600.0,1599.0
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
